id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image_path
10268,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2012.0,Formal,Clarks Men Hang Work Leather Black Formal Shoes,C:\Users\color\Desktop\fashion-recommendation\data\images\10268.jpg
10866,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Wrangler Men Motor Rider Red T-Shirts,C:\Users\color\Desktop\fashion-recommendation\data\images\10866.jpg
10065,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011.0,Casual,Puma Men ducati logo tee Yellow Tshirts,C:\Users\color\Desktop\fashion-recommendation\data\images\10065.jpg
10859,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Wrangler Men Furious Rides Navy Blue T-Shirts,C:\Users\color\Desktop\fashion-recommendation\data\images\10859.jpg
10257,Men,Apparel,Bottomwear,Trousers,Black,Fall,2011.0,Formal,John Miller Men Solid Type Black Trousers,C:\Users\color\Desktop\fashion-recommendation\data\images\10257.jpg
10633,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2011.0,Formal,Carlton London Men Formal Brown Formal Shoes,C:\Users\color\Desktop\fashion-recommendation\data\images\10633.jpg
10401,Women,Apparel,Topwear,Tops,Purple,Fall,2011.0,Casual,Jealous 21 Women Uaine Purple Tops,C:\Users\color\Desktop\fashion-recommendation\data\images\10401.jpg
10861,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Wrangler Men Dirt Riders White T-Shirts,C:\Users\color\Desktop\fashion-recommendation\data\images\10861.jpg
10439,Men,Apparel,Topwear,Tshirts,Brown,Fall,2011.0,Casual,Flying Machine Men Walnut Brown Tshirts,C:\Users\color\Desktop\fashion-recommendation\data\images\10439.jpg
10096,Women,Footwear,Shoes,Sports Shoes,Blue,Fall,2011.0,Sports,Reebok Women Reeflex Run Blue Sports Shoes,C:\Users\color\Desktop\fashion-recommendation\data\images\10096.jpg
10406,Women,Apparel,Dress,Dresses,Grey,Fall,2011.0,Casual,United Colors of Benetton Women Solid Grey Dresses,C:\Users\color\Desktop\fashion-recommendation\data\images\10406.jpg
10634,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2012.0,Formal,Carlton London Men Black Oxford Wingtip Brogues,C:\Users\color\Desktop\fashion-recommendation\data\images\10634.jpg
10250,Women,Accessories,Bags,Handbags,Brown,Winter,2015.0,Casual,Murcia Women Hahk Brown Handbags,C:\Users\color\Desktop\fashion-recommendation\data\images\10250.jpg
10062,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Puma Men Puma runhard tee Grey Tshirts,C:\Users\color\Desktop\fashion-recommendation\data\images\10062.jpg
10857,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Wrangler Men Rider Striper Polo White T-Shirts,C:\Users\color\Desktop\fashion-recommendation\data\images\10857.jpg
10259,Men,Apparel,Bottomwear,Trousers,Black,Fall,2011.0,Formal,John Miller Men Reglur Black Trousers,C:\Users\color\Desktop\fashion-recommendation\data\images\10259.jpg
10292,Women,Footwear,Shoes,Heels,Brown,Summer,2015.0,Casual,Clarks Women Brown Leather Heels,C:\Users\color\Desktop\fashion-recommendation\data\images\10292.jpg
10266,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011.0,Casual,Clarks Men Goto Hi Cola Suede Brown Shoes,C:\Users\color\Desktop\fashion-recommendation\data\images\10266.jpg
10054,Boys,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Sports,Reebok Kids Kkr Boy's Premium Blue Jerseys,C:\Users\color\Desktop\fashion-recommendation\data\images\10054.jpg
10430,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Flying Machine Men Ydc Blue Shirts,C:\Users\color\Desktop\fashion-recommendation\data\images\10430.jpg
10602,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Sports,Nike Men Football Soccer Red Jerseys,C:\Users\color\Desktop\fashion-recommendation\data\images\10602.jpg
10850,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Wrangler Men Famous Filafil Blue T-Shirts,C:\Users\color\Desktop\fashion-recommendation\data\images\10850.jpg
10408,Women,Apparel,Topwear,Tops,Black,Fall,2011.0,Casual,United Colors of Benetton Women Solid Black Tops,C:\Users\color\Desktop\fashion-recommendation\data\images\10408.jpg
10098,Men,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Fastrack Men Analogue Plastic White Watch,C:\Users\color\Desktop\fashion-recommendation\data\images\10098.jpg
10605,Women,Accessories,Watches,Watches,Pink,Winter,2016.0,Casual,Esprit Women Houston Funny Pink Watches,C:\Users\color\Desktop\fashion-recommendation\data\images\10605.jpg
10437,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,Flying Machine Men HS Green Shirts,C:\Users\color\Desktop\fashion-recommendation\data\images\10437.jpg
10053,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,Gini And Jony Vini Romper Pink T-Shirts,C:\Users\color\Desktop\fashion-recommendation\data\images\10053.jpg
10261,Men,Apparel,Bottomwear,Trousers,Brown,Fall,2011.0,Formal,John Miller Men Slim Brown Trousers,C:\Users\color\Desktop\fashion-recommendation\data\images\10261.jpg
10295,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2016.0,Casual,Clarks Men Brown Leather Casual Shoes,C:\Users\color\Desktop\fashion-recommendation\data\images\10295.jpg
10463,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Flying Machine Men Grey Polo Tshirts,C:\Users\color\Desktop\fashion-recommendation\data\images\10463.jpg
10235,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Carrera Men Hexagaon Dial Black Watches,C:\Users\color\Desktop\fashion-recommendation\data\images\10235.jpg
10007,Women,Apparel,Topwear,Tshirts,White,Fall,2011.0,Sports,Nike Women As Trophy Swo White T-Shirts,C:\Users\color\Desktop\fashion-recommendation\data\images\10007.jpg
10497,Women,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Flying Machine Women RN HS White Tshirts,C:\Users\color\Desktop\fashion-recommendation\data\images\10497.jpg
10804,Men,Footwear,Flip Flops,Flip Flops,White,Fall,2011.0,Casual,Wrangler Men Rider Solid White Shirts,C:\Users\color\Desktop\fashion-recommendation\data\images\10804.jpg
10490,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Flying Machine Men HS Blue Shirts,C:\Users\color\Desktop\fashion-recommendation\data\images\10490.jpg
10000,Women,Apparel,Bottomwear,Skirts,White,Summer,2011.0,Casual,Palm Tree Girls Sp Jace Sko White Skirts,C:\Users\color\Desktop\fashion-recommendation\data\images\10000.jpg
10656,Women,Apparel,Topwear,Tops,Pink,Fall,2011.0,Casual,Doodle Girl Little frock Pink Tops,C:\Users\color\Desktop\fashion-recommendation\data\images\10656.jpg
10464,Men,Apparel,Topwear,Tshirts,Pink,Fall,2011.0,Casual,Flying Machine Men Mauvemist Pink Tshirts,C:\Users\color\Desktop\fashion-recommendation\data\images\10464.jpg
10669,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Doodle Boy Road Trip Grey Tshirts,C:\Users\color\Desktop\fashion-recommendation\data\images\10669.jpg
